LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,RH2M,PRECTOTCORR,T2MDEW,study
-55.17,-15.55,2012,7,20,202,2012-07-20,19.17,26.44,11.13,15.31,56.41,0,9.98,1
-55.17,-15.55,2012,7,21,203,2012-07-21,21.07,28.87,13.64,15.23,65.08,0,13.79,1
-55.17,-15.55,2012,7,22,204,2012-07-22,23.32,29.88,18.22,11.66,62.25,0,15.39,1
-55.17,-15.55,2012,7,23,205,2012-07-23,22.6,30.33,16.76,13.57,64.31,0,14.95,1
-55.17,-15.55,2012,7,24,206,2012-07-24,22.75,29.95,16.99,12.96,61.03,0.01,14.27,1
-55.17,-15.55,2012,7,25,207,2012-07-25,22.3,29.85,15.52,14.33,59.11,0,13.31,1
-55.17,-15.55,2012,7,26,208,2012-07-26,22.06,29.62,15.28,14.34,52.92,0,11.35,1
-55.17,-15.55,2012,7,27,209,2012-07-27,21.32,30.05,13.91,16.14,55.41,0,11.33,1
-55.17,-15.55,2012,7,28,210,2012-07-28,21.35,29.66,14.4,15.26,53.04,0,10.55,1
-55.17,-15.55,2012,7,29,211,2012-07-29,22.07,30.09,14.29,15.8,50.78,0,10.8,1
-55.17,-15.55,2012,7,30,212,2012-07-30,20.96,29.6,14.27,15.33,54.74,0,10.78,1
-55.17,-15.55,2012,7,31,213,2012-07-31,20.55,29.22,14.29,14.93,55.3,0,10.53,1
-55.17,-15.55,2012,8,1,214,2012-08-01,20.29,29.18,13.59,15.59,55.64,0,10.51,1
-55.17,-15.55,2012,8,2,215,2012-08-02,21.23,29.3,15.22,14.08,54.67,0,11,1
-55.17,-15.55,2012,8,3,216,2012-08-03,21.21,29.42,15.09,14.33,56.23,0,11.6,1
-55.17,-15.55,2012,8,4,217,2012-08-04,21.13,29.62,14.49,15.13,56.03,0,11.26,1
-55.17,-15.55,2012,8,5,218,2012-08-05,21.8,29.5,15.15,14.35,57,0,12.23,1
-55.17,-15.55,2012,8,6,219,2012-08-06,21.97,29.78,15.44,14.34,55.64,0,11.96,1
-55.17,-15.55,2012,8,7,220,2012-08-07,22.79,31.18,15.12,16.06,54.04,0,12.13,1
-55.17,-15.55,2012,8,8,221,2012-08-08,22.61,31.8,15.36,16.44,54.81,0,12.01,1
-55.17,-15.55,2012,8,9,222,2012-08-09,22.95,30.99,16.85,14.14,56.73,0,13.25,1
-55.17,-15.55,2012,8,10,223,2012-08-10,22.19,30.76,16.26,14.5,53.07,0,11.16,1
-55.17,-15.55,2012,8,11,224,2012-08-11,21.83,30.72,14.73,15.99,51.01,0,10.33,1
-55.17,-15.55,2012,8,12,225,2012-08-12,22.14,30.67,15.83,14.84,50.91,0,10.77,1
-55.17,-15.55,2012,8,13,226,2012-08-13,21.27,29.78,14.5,15.28,51.6,0,9.93,1
-55.17,-15.55,2012,8,14,227,2012-08-14,21.87,29.84,15.04,14.8,53.1,0,11.19,1
-55.17,-15.55,2012,8,15,228,2012-08-15,24.06,31.1,18.11,12.99,50.55,0,12.46,1
-55.17,-15.55,2012,8,16,229,2012-08-16,24.14,32.26,18.56,13.7,51.79,0,12.81,1
-55.17,-15.55,2012,8,17,230,2012-08-17,23.4,31.87,17.79,14.08,51.4,0,11.82,1
-55.17,-15.55,2012,8,18,231,2012-08-18,23.45,31.94,16.71,15.23,48.92,0,11.22,1
-55.17,-15.55,2012,8,19,232,2012-08-19,23.73,31.29,17.82,13.47,48.79,0,11.54,1
-55.17,-15.55,2012,8,20,233,2012-08-20,23.2,30.82,16.06,14.76,50.09,0,11.4,1
-55.17,-15.55,2012,8,21,234,2012-08-21,23.15,30.93,17.12,13.81,49.44,0,11.01,1
-55.17,-15.55,2012,8,22,235,2012-08-22,22.55,30.8,15.58,15.22,50.29,0,10.69,1
-55.17,-15.55,2012,8,23,236,2012-08-23,23.29,31.5,16.6,14.9,47.55,0.06,10.42,1
-55.17,-15.55,2012,8,24,237,2012-08-24,23.74,31.23,17.84,13.39,50.79,0.04,12.15,1
-55.17,-15.55,2012,8,25,238,2012-08-25,23.21,31.26,16.55,14.71,53.81,0,12.35,1
-55.17,-15.55,2012,8,26,239,2012-08-26,22.28,29.66,17,12.66,55.28,0,12.33,1
-55.17,-15.55,2012,8,27,240,2012-08-27,21.04,28.26,15.94,12.32,55.56,0,11.36,1
-55.17,-15.55,2012,8,28,241,2012-08-28,20.34,28.39,14.06,14.33,57.68,0,11.12,1
-55.17,-15.55,2012,8,29,242,2012-08-29,22.21,31.11,13.96,17.15,54.67,0,11.58,1
-55.17,-15.55,2012,8,30,243,2012-08-30,23.67,32.34,16.4,15.94,48.05,0,10.83,1
-55.17,-15.55,2012,8,31,244,2012-08-31,24.61,34.04,16.86,17.18,45.46,0,10.71,1
-55.17,-15.55,2012,9,1,245,2012-09-01,25.24,34.38,17.73,16.65,42.66,0,10.27,1
-55.17,-15.55,2012,9,2,246,2012-09-02,26.25,35.48,18.83,16.65,41.08,0,10.59,1
-55.17,-15.55,2012,9,3,247,2012-09-03,26.6,35.74,19.93,15.81,39.2,0,10.3,1
-55.17,-15.55,2012,9,4,248,2012-09-04,26.41,36.06,18.88,17.18,38.45,0,9.55,1
-55.17,-15.55,2012,9,5,249,2012-09-05,25.45,35.23,17.69,17.54,37.09,0,8.33,1
-55.17,-15.55,2012,9,6,250,2012-09-06,25.59,35.16,17.66,17.5,37.83,0,8.63,1
-55.17,-15.55,2012,9,7,251,2012-09-07,25.74,34.93,18.52,16.41,38.61,0,9.22,1
-55.17,-15.55,2012,9,8,252,2012-09-08,25.52,34.97,17.96,17.01,38.73,0,9.14,1
-55.17,-15.55,2012,9,9,253,2012-09-09,25.86,35.24,17.88,17.36,38.75,0,8.89,1
-55.17,-15.55,2012,9,10,254,2012-09-10,27.55,35.76,18.39,17.37,36.35,0,9.86,1
